_id,Year_Month,Card_type,Travel_Mode,Trip
351,Apr-2017,Adult Single Bus Trip 2,Bus,98729
352,Apr-2017,Adult Single Bus Trip 3,Bus,39330
353,Apr-2017,Child/Youth,Bus,1276586
354,Apr-2017,Child/Youth Single Bus Trip 1,Bus,54620
355,Apr-2017,Child/Youth Single Bus Trip 2,Bus,42726
356,Apr-2017,Child/Youth Single Bus Trip 3,Bus,12903
357,Apr-2017,Concession,Bus,1647277
358,Apr-2017,Employee,Bus,65750
359,Apr-2017,Free Travel,Bus,33012
360,Apr-2017,School Student,Bus,1062002
361,Apr-2017,Senior/Pensioner,Bus,3754438
362,Apr-2017,Adult,Ferry,953347
363,Apr-2017,Child/Youth,Ferry,149935
364,Apr-2017,Concession,Ferry,28963
365,Apr-2017,Employee,Ferry,5172
366,Apr-2017,Free Travel,Ferry,2199
367,Apr-2017,School Student,Ferry,839
368,Apr-2017,Senior/Pensioner,Ferry,193582
369,Apr-2017,Sgl Trip Ferry Adult,Ferry,59293
370,Apr-2017,Sgl Trip Ferry Child/Youth,Ferry,15138
371,Apr-2017,Adult,Light Rail,587812
372,Apr-2017,Child/Youth,Light Rail,48789
373,Apr-2017,Concession,Light Rail,30959
374,Apr-2017,Free Travel,Light Rail,905
375,Apr-2017,School Student,Light Rail,2198
376,Apr-2017,Senior/Pensioner,Light Rail,141087
377,Apr-2017,Sgl Trip LR Adult,Light Rail,2666
378,Apr-2017,Sgl Trip LR Child/Youth,Light Rail,821
379,Apr-2017,Adult,Train,21558784
380,Apr-2017,Child/Youth,Train,1333722
381,Apr-2017,Concession,Train,2080422
382,Apr-2017,Employee,Train,260847
383,Apr-2017,Free Travel,Train,29582
384,Apr-2017,School Student,Train,427515
385,Apr-2017,Senior/Pensioner,Train,2679990
386,Apr-2017,Sgl Trip Rail Adult,Train,298912
387,Apr-2017,Sgl Trip Rail Child/Youth,Train,75955
388,May-2017,Adult,Bus,14803185
389,May-2017,Adult Single Bus Trip 1,Bus,168079
390,May-2017,Adult Single Bus Trip 2,Bus,102429
391,May-2017,Adult Single Bus Trip 3,Bus,39400
392,May-2017,Child/Youth,Bus,1122661
393,May-2017,Child/Youth Single Bus Trip 1,Bus,40946
394,May-2017,Child/Youth Single Bus Trip 2,Bus,25907
395,May-2017,Child/Youth Single Bus Trip 3,Bus,7355
396,May-2017,Concession,Bus,2193095
397,May-2017,Employee,Bus,77797
398,May-2017,Free Travel,Bus,40054
399,May-2017,School Student,Bus,3124770
400,May-2017,Senior/Pensioner,Bus,4329706
401,May-2017,Adult,Ferry,812318
402,May-2017,Child/Youth,Ferry,63543
403,May-2017,Concession,Ferry,28200
404,May-2017,Employee,Ferry,5428
405,May-2017,Free Travel,Ferry,2355
406,May-2017,School Student,Ferry,2435
407,May-2017,Senior/Pensioner,Ferry,189654
408,May-2017,Sgl Trip Ferry Adult,Ferry,40290
409,May-2017,Sgl Trip Ferry Child/Youth,Ferry,5607
410,May-2017,Adult,Light Rail,614636
411,May-2017,Child/Youth,Light Rail,31460
